t,target,cmd,measured
9.72,12,-0.2,12.2
9.725,12,-0.2,12.2
9.73,12,-0.2,12.2
9.735,12,-0.2,12.2
9.74,12,-0.2,12.2
9.745,12,-0.2,12.2
9.75,12,-0.2,12.2
9.755,12,-0.2,12.2
9.76,12,-0.2,12.2
9.765,12,-0.2,12.2
9.77,12,-0.2,12.2
9.775,12,-0.2,12.2
9.78,12,-0.2,12.2
9.785,12,-0.2,12.2
9.79,12,-0.2,12.2
9.795,12,-0.2,12.2
9.8,12,-0.2,12.2
9.805,12,-0.2,12.2
9.81,12,-0.2,12.2
9.815,12,-0.2,12.2
9.82,12,-0.2,12.2
9.825,12,-0.2,12.2
9.83,12,-0.2,12.2
9.835,12,-0.2,12.2
9.84,12,-0.2,12.2
9.845,12,-0.2,12.2
9.85,12,-0.2,12.2
9.855,12,-0.2,12.2
9.86,12,-0.2,12.2
9.865,12,-0.2,12.2
9.87,12,-0.2,12.2
9.875,12,-0.2,12.2
9.88,12,-0.2,12.2
9.885,12,-0.2,12.2
9.89,12,-0.2,12.2
9.895,12,-0.2,12.2
9.9,12,-0.2,12.2
9.905,12,-0.2,12.2
9.91,12,-0.2,12.2
9.915,12,-0.2,12.2
9.92,12,-0.2,12.2
9.925,12,-0.2,12.2
9.93,12,-0.2,12.2
9.935,12,-0.2,12.2
9.94,12,-0.2,12.1
9.945,12,-0.1,12.1
9.95,12,-0.1,12.1
9.955,12,-0.1,12.1
9.96,12,-0.1,12.1
9.965,12,-0.1,12.1
9.97,12,-0.1,12.1
9.975,12,-0.1,12.1
9.98,12,-0.1,12.1
9.985,12,-0.1,12.1
9.99,12,-0.1,12.1
9.995,12,-0.1,12.1
10,12,-0.1,12.1
10.005,12,-0.1,12.1
10.01,12,-0.1,12.1
10.015,12,-0.1,12.1
10.02,12,-0.1,12.1
10.025,12,-0.1,12.1
10.03,12,-0.1,12.1
10.035,12,-0.1,12.1
10.04,12,-0.1,12.1
10.045,12,-0.1,12.1
10.05,12,-0.1,12.1
10.055,12,-0.1,12.1
10.06,12,-0.1,12.1
10.065,12,-0.1,12.1
10.07,12,-0.1,12.1
10.075,12,-0.1,12.1
10.08,12,-0.1,12.1
10.085,12,-0.1,12.1
10.09,12,-0.1,12.1
10.095,12,-0.1,12.1
10.1,12,-0.1,12.1
10.105,12,-0.1,12.1
10.11,12,-0.1,12.1
10.115,12,-0.1,12.1
10.12,12,-0.1,12.1
10.125,12,-0.1,12.1
10.13,12,-0.1,12.1
10.135,12,-0.1,12.1
10.14,12,-0.1,12.1
10.145,12,-0.1,12.1
10.15,12,-0.1,12.1
10.155,12,-0.1,12.1
10.16,12,-0.1,12.1
10.165,12,-0.1,12.1
10.17,12,-0.1,12.1
10.175,12,-0.1,12.1
10.18,12,-0.1,12.1
10.185,12,-0.1,12.1
10.19,12,-0.1,12.1
10.195,12,-0.1,12.1
10.2,12,-0.1,12.1
10.205,12,-0.1,12.1
10.21,12,-0.1,12.1
10.215,12,-0.1,12.1
10.22,12,-0.1,12.1
10.225,12,-0.1,12.1
10.23,12,-0.1,12.1
10.235,12,-0.1,12.1
10.24,12,-0.1,12.1
10.245,12,-0.1,12.1
10.25,12,-0.1,12.1
10.255,12,-0.1,12.1
10.26,12,-0.1,12.1
10.265,12,-0.1,12.1
10.27,12,-0.1,12.1
10.275,12,-0.1,12.1
10.28,12,-0.1,12.1
10.285,12,-0.1,12.1
10.29,12,-0.1,12.1
10.295,12,-0.1,12.1
10.3,12,-0.1,12.1
10.305,12,-0.1,12.1
10.31,12,-0.1,12.1
10.315,12,-0.1,12.1
10.32,12,-0.1,12.1
10.325,12,-0.1,12.1
10.33,12,-0.1,12.1
10.335,12,-0.1,12.1
10.34,12,-0.1,12.1
10.345,12,-0.1,12.1
10.35,12,-0.1,12.1
10.355,12,-0.1,12.1
10.36,12,-0.1,12.1
10.365,12,-0.1,12.1
10.37,12,-0.1,12.1
10.375,12,-0.1,12.1
10.38,12,-0.1,12.1
10.385,12,-0.1,12.1
10.39,12,-0.1,12.1
10.395,12,-0.1,12.1
10.4,12,-0.1,12.1
10.405,12,-0.1,12.1
10.41,12,-0.1,12.1
10.415,12,-0.1,12.1
10.42,12,-0.1,12.1
10.425,12,-0.1,12.1
10.43,12,-0.1,12.1
10.435,12,-0.1,12.1
10.44,12,-0.1,12.1
10.445,12,-0.1,12.1
10.45,12,-0.1,12.1
10.455,12,-0.1,12.1
10.46,12,-0.1,12.1
10.465,12,-0.1,12.1
10.47,12,-0.1,12.1
10.475,12,-0.1,12.1
10.48,12,-0.1,12.1
10.485,12,-0.1,12.1
10.49,12,-0.1,12.1
10.495,12,-0.1,12.1
10.5,12,-0.1,12.1
10.505,12,-0.1,12.1
10.51,12,-0.1,12.1
10.515,12,-0.1,12.1
10.52,12,-0.1,12.1
10.525,12,-0.1,12.1
10.53,12,-0.1,12.1
10.535,12,-0.1,12.1
10.54,12,-0.1,12.1
10.545,12,-0.1,12.1
10.55,12,-0.1,12.1
10.555,12,-0.1,12.1
10.56,12,-0.1,12.1
10.565,12,-0.1,12.1
10.57,12,-0.1,12.1
10.575,12,-0.1,12.1
10.58,12,-0.1,12.1
10.585,12,-0.1,12.1
10.59,12,-0.1,12.1
10.595,12,-0.1,12.1
10.6,12,-0.1,12.1
10.605,12,-0.1,12.1
10.61,12,-0.1,12.1
10.615,12,-0.1,12.1
10.62,12,-0.1,12.1
10.625,12,-0.1,12.1
10.63,12,-0.1,12.1
10.635,12,-0.1,12.1
10.64,12,-0.1,12.1
10.645,12,-0.1,12.1
10.65,12,-0.1,12.1
10.655,12,-0.1,12.1
10.66,12,-0.1,12.1
10.665,12,-0.1,12.1
10.67,12,-0.1,12.1
10.675,12,-0.1,12.1
10.68,12,-0.1,12.1
10.685,12,-0.1,12.1
10.69,12,-0.1,12.1
10.695,12,-0.1,12.1
10.7,12,-0.1,12.1
10.705,12,-0.1,12.1
10.71,12,-0.1,12.1
10.715,12,-0.1,12.1
10.72,12,-0.1,12.1
10.725,12,-0.1,12.1
10.73,12,-0.1,12.1
10.735,12,-0.1,12.1
10.74,12,-0.1,12.1
10.745,12,-0.1,12.1
10.75,12,-0.1,12.1
10.755,12,-0.1,12.1
10.76,12,-0.1,12.1
10.765,12,-0.1,12.1
10.77,12,-0.1,12.1
10.775,12,-0.1,12.1
10.78,12,-0.1,12.1
10.785,12,-0.1,12.1
10.79,12,-0.1,12.1
10.795,12,-0.1,12.1
10.8,12,-0.1,12.1
10.805,12,-0.1,12.1
10.81,12,-0.1,12.1
10.815,12,-0.1,12.1
10.82,12,-0.1,12.1
10.825,12,-0.1,12.1
10.83,12,-0.1,12.1
10.835,12,-0.1,12.1
10.84,12,-0.1,12.1
10.845,12,-0.1,12.1
10.85,12,-0.1,12.1
10.855,12,-0.1,12.1
10.86,12,-0.1,12.1
10.865,12,-0.1,12.1
10.87,12,-0.1,12.1
10.875,12,-0.1,12.1
10.88,12,-0.1,12.1
10.885,12,-0.1,12.1
10.89,12,-0.1,12.1
10.895,12,-0.1,12.1
10.9,12,-0.1,12.1
10.905,12,-0.1,12.1
10.91,12,-0.1,12.1
10.915,12,-0.1,12.1
10.92,12,-0.1,12.1
10.925,12,-0.1,12.1
10.93,12,-0.1,12.1
10.935,12,-0.1,12.1
10.94,12,-0.1,12
10.945,12,0,12
10.95,12,0,12
10.955,12,0,12
10.96,12,0,12
10.965,12,0,12
10.97,12,0,12
10.975,12,0,12
10.98,12,0,12
10.985,12,0,12
10.99,12,0,12
10.995,12,0,12
11,13.5,1.5,12.1
11.005,13.5,1.4,12.1
11.01,13.5,1.4,12.1
11.015,13.5,1.4,12.1
11.02,13.5,1.4,12.1
11.025,13.5,1.4,12.1
11.03,13.5,1.4,12.1
11.035,13.5,1.4,12.1
11.04,13.5,1.4,12.1
11.045,13.5,1.4,12.1
11.05,13.5,1.4,12.1
11.055,13.5,1.4,12.1
11.06,13.5,1.4,12.1
11.065,13.5,1.4,12.1
11.07,13.5,1.4,12.2
11.075,13.5,1.3,12.2
11.08,13.5,1.3,12.2
11.085,13.5,1.3,12.2
11.09,13.5,1.3,12.2
11.095,13.5,1.3,12.2
11.1,13.5,1.3,12.2
11.105,13.5,1.3,12.2
11.11,13.5,1.3,12.2
11.115,13.5,1.3,12.2
11.12,13.5,1.3,12.2
11.125,13.5,1.3,12.2
11.13,13.5,1.3,12.2
11.135,13.5,1.3,12.2
11.14,13.5,1.3,12.2
11.145,13.5,1.3,12.3
11.15,13.5,1.2,12.3
11.155,13.5,1.2,12.3
11.16,13.5,1.2,12.3
11.165,13.5,1.2,12.3
11.17,13.5,1.2,12.3
11.175,13.5,1.2,12.3
11.18,13.5,1.2,12.3
11.185,13.5,1.2,12.3
11.19,13.5,1.2,12.3
11.195,13.5,1.2,12.3
11.2,13.5,1.2,12.3
11.205,13.5,1.2,12.3
11.21,13.5,1.2,12.3
11.215,13.5,1.2,12.3
11.22,13.5,1.2,12.3
11.225,13.5,1.2,12.3
11.23,13.5,1.2,12.4
11.235,13.5,1.1,12.4
11.24,13.5,1.1,12.4
11.245,13.5,1.1,12.4
11.25,13.5,1.1,12.4
11.255,13.5,1.1,12.4
11.26,13.5,1.1,12.4
11.265,13.5,1.1,12.4
11.27,13.5,1.1,12.4
11.275,13.5,1.1,12.4
11.28,13.5,1.1,12.4
11.285,13.5,1.1,12.4
11.29,13.5,1.1,12.4
11.295,13.5,1.1,12.4
11.3,13.5,1.1,12.4
11.305,13.5,1.1,12.4
11.31,13.5,1.1,12.4
11.315,13.5,1.1,12.4
11.32,13.5,1.1,12.5
11.325,13.5,1,12.5
11.33,13.5,1,12.5
11.335,13.5,1,12.5
11.34,13.5,1,12.5
11.345,13.5,1,12.5
11.35,13.5,1,12.5
11.355,13.5,1,12.5
11.36,13.5,1,12.5
11.365,13.5,1,12.5
11.37,13.5,1,12.5
11.375,13.5,1,12.5
11.38,13.5,1,12.5
11.385,13.5,1,12.5
11.39,13.5,1,12.5
11.395,13.5,1,12.5
11.4,13.5,1,12.5
11.405,13.5,1,12.5
11.41,13.5,1,12.5
11.415,13.5,1,12.5
11.42,13.5,1,12.6
11.425,13.5,0.9,12.6
11.43,13.5,0.9,12.6
11.435,13.5,0.9,12.6
11.44,13.5,0.9,12.6
11.445,13.5,0.9,12.6
11.45,13.5,0.9,12.6
11.455,13.5,0.9,12.6
11.46,13.5,0.9,12.6
11.465,13.5,0.9,12.6
11.47,13.5,0.9,12.6
11.475,13.5,0.9,12.6
11.48,13.5,0.9,12.6
11.485,13.5,0.9,12.6
11.49,13.5,0.9,12.6
11.495,13.5,0.9,12.6
11.5,13.5,0.9,12.6
11.505,13.5,0.9,12.6
11.51,13.5,0.9,12.6
11.515,13.5,0.9,12.6
11.52,13.5,0.9,12.6
11.525,13.5,0.9,12.6
11.53,13.5,0.9,12.7
11.535,13.5,0.8,12.7
11.54,13.5,0.8,12.7
11.545,13.5,0.8,12.7
11.55,13.5,0.8,12.7
11.555,13.5,0.8,12.7
11.56,13.5,0.8,12.7
11.565,13.5,0.8,12.7
11.57,13.5,0.8,12.7
11.575,13.5,0.8,12.7
11.58,13.5,0.8,12.7
11.585,13.5,0.8,12.7
11.59,13.5,0.8,12.7
11.595,13.5,0.8,12.7
11.6,13.5,0.8,12.7
11.605,13.5,0.8,12.7
11.61,13.5,0.8,12.7
11.615,13.5,0.8,12.7
11.62,13.5,0.8,12.7
11.625,13.5,0.8,12.7
11.63,13.5,0.8,12.7
11.635,13.5,0.8,12.7
11.64,13.5,0.8,12.7
11.645,13.5,0.8,12.7
11.65,13.5,0.8,12.7
11.655,13.5,0.8,12.8
11.66,13.5,0.7,12.8
11.665,13.5,0.7,12.8
11.67,13.5,0.7,12.8
11.675,13.5,0.7,12.8
11.68,13.5,0.7,12.8
11.685,13.5,0.7,12.8
11.69,13.5,0.7,12.8
11.695,13.5,0.7,12.8
11.7,13.5,0.7,12.8
11.705,13.5,0.7,12.8
11.71,13.5,0.7,12.8
11.715,13.5,0.7,12.8
11.72,13.5,0.7,12.8
11.725,13.5,0.7,12.8
11.73,13.5,0.7,12.8
11.735,13.5,0.7,12.8
11.74,13.5,0.7,12.8
11.745,13.5,0.7,12.8
11.75,13.5,0.7,12.8
11.755,13.5,0.7,12.8
11.76,13.5,0.7,12.8
11.765,13.5,0.7,12.8
11.77,13.5,0.7,12.8
11.775,13.5,0.7,12.8
11.78,13.5,0.7,12.8
11.785,13.5,0.7,12.8
11.79,13.5,0.7,12.8
11.795,13.5,0.7,12.9
11.8,13.5,0.6,12.9
11.805,13.5,0.6,12.9
11.81,13.5,0.6,12.9
11.815,13.5,0.6,12.9
11.82,13.5,0.6,12.9
11.825,13.5,0.6,12.9
11.83,13.5,0.6,12.9
11.835,13.5,0.6,12.9
11.84,13.5,0.6,12.9
11.845,13.5,0.6,12.9
11.85,13.5,0.6,12.9
11.855,13.5,0.6,12.9
11.86,13.5,0.6,12.9
11.865,13.5,0.6,12.9
11.87,13.5,0.6,12.9
11.875,13.5,0.6,12.9
11.88,13.5,0.6,12.9
11.885,13.5,0.6,12.9
11.89,13.5,0.6,12.9
11.895,13.5,0.6,12.9
11.9,13.5,0.6,12.9
11.905,13.5,0.6,12.9
11.91,13.5,0.6,12.9
11.915,13.5,0.6,12.9
11.92,13.5,0.6,12.9
11.925,13.5,0.6,12.9
11.93,13.5,0.6,12.9
11.935,13.5,0.6,12.9
11.94,13.5,0.6,12.9
11.945,13.5,0.6,12.9
11.95,13.5,0.6,12.9
11.955,13.5,0.6,12.9
11.96,13.5,0.6,12.9
11.965,13.5,0.6,13
11.97,13.5,0.5,13
11.975,13.5,0.5,13
11.98,13.5,0.5,13
11.985,13.5,0.5,13
11.99,13.5,0.5,13
11.995,13.5,0.5,13
12,13.5,0.5,13
12.005,13.5,0.5,13
12.01,13.5,0.5,13
12.015,13.5,0.5,13
12.02,13.5,0.5,13
12.025,13.5,0.5,13
12.03,13.5,0.5,13
12.035,13.5,0.5,13
12.04,13.5,0.5,13
12.045,13.5,0.5,13
12.05,13.5,0.5,13
12.055,13.5,0.5,13
12.06,13.5,0.5,13
12.065,13.5,0.5,13
12.07,13.5,0.5,13
12.075,13.5,0.5,13
12.08,13.5,0.5,13
12.085,13.5,0.5,13
12.09,13.5,0.5,13
12.095,13.5,0.5,13
12.1,13.5,0.5,13
12.105,13.5,0.5,13
12.11,13.5,0.5,13
12.115,13.5,0.5,13
12.12,13.5,0.5,13
12.125,13.5,0.5,13
12.13,13.5,0.5,13
12.135,13.5,0.5,13
12.14,13.5,0.5,13
12.145,13.5,0.5,13
12.15,13.5,0.5,13
12.155,13.5,0.5,13
12.16,13.5,0.5,13.1
12.165,13.5,0.4,13.1
12.17,13.5,0.4,13.1
12.175,13.5,0.4,13.1
12.18,13.5,0.4,13.1
12.185,13.5,0.4,13.1
12.19,13.5,0.4,13.1
12.195,13.5,0.4,13.1
12.2,13.5,0.4,13.1
12.205,13.5,0.4,13.1
12.21,13.5,0.4,13.1
12.215,13.5,0.4,13.1
12.22,13.5,0.4,13.1
12.225,13.5,0.4,13.1
12.23,13.5,0.4,13.1
12.235,13.5,0.4,13.1
12.24,13.5,0.4,13.1
12.245,13.5,0.4,13.1
12.25,13.5,0.4,13.1
12.255,13.5,0.4,13.1
12.26,13.5,0.4,13.1
12.265,13.5,0.4,13.1
12.27,13.5,0.4,13.1
12.275,13.5,0.4,13.1
12.28,13.5,0.4,13.1
12.285,13.5,0.4,13.1
12.29,13.5,0.4,13.1
12.295,13.5,0.4,13.1
12.3,13.5,0.4,13.1
12.305,13.5,0.4,13.1
12.31,13.5,0.4,13.1
12.315,13.5,0.4,13.1
12.32,13.5,0.4,13.1
12.325,13.5,0.4,13.1
12.33,13.5,0.4,13.1
12.335,13.5,0.4,13.1
12.34,13.5,0.4,13.1
12.345,13.5,0.4,13.1
12.35,13.5,0.4,13.1
12.355,13.5,0.4,13.1
12.36,13.5,0.4,13.1
12.365,13.5,0.4,13.1
12.37,13.5,0.4,13.1
12.375,13.5,0.4,13.1
12.38,13.5,0.4,13.1
12.385,13.5,0.4,13.1
12.39,13.5,0.4,13.1
12.395,13.5,0.4,13.1
12.4,13.5,0.4,13.1
12.405,13.5,0.4,13.1
12.41,13.5,0.4,13.2
12.415,13.5,0.3,13.2
12.42,13.5,0.3,13.2
12.425,13.5,0.3,13.2
12.43,13.5,0.3,13.2
12.435,13.5,0.3,13.2
12.44,13.5,0.3,13.2
12.445,13.5,0.3,13.2
12.45,13.5,0.3,13.2
12.455,13.5,0.3,13.2
12.46,13.5,0.3,13.2
12.465,13.5,0.3,13.2
12.47,13.5,0.3,13.2
12.475,13.5,0.3,13.2
12.48,13.5,0.3,13.2
12.485,13.5,0.3,13.2
12.49,13.5,0.3,13.2
12.495,13.5,0.3,13.2
12.5,13.5,0.3,13.2
12.505,13.5,0.3,13.2
12.51,13.5,0.3,13.2
12.515,13.5,0.3,13.2
12.52,13.5,0.3,13.2
12.525,13.5,0.3,13.2
12.53,13.5,0.3,13.2
12.535,13.5,0.3,13.2
12.54,13.5,0.3,13.2
12.545,13.5,0.3,13.2
12.55,13.5,0.3,13.2
12.555,13.5,0.3,13.2
12.56,13.5,0.3,13.2
12.565,13.5,0.3,13.2
12.57,13.5,0.3,13.2
12.575,13.5,0.3,13.2
12.58,13.5,0.3,13.2
12.585,13.5,0.3,13.2
12.59,13.5,0.3,13.2
12.595,13.5,0.3,13.2
12.6,13.5,0.3,13.2
12.605,13.5,0.3,13.2
12.61,13.5,0.3,13.2
12.615,13.5,0.3,13.2
12.62,13.5,0.3,13.2
12.625,13.5,0.3,13.2
12.63,13.5,0.3,13.2
12.635,13.5,0.3,13.2
12.64,13.5,0.3,13.2
12.645,13.5,0.3,13.2
12.65,13.5,0.3,13.2
12.655,13.5,0.3,13.2
12.66,13.5,0.3,13.2
12.665,13.5,0.3,13.2
12.67,13.5,0.3,13.2
12.675,13.5,0.3,13.2
12.68,13.5,0.3,13.2
12.685,13.5,0.3,13.2
12.69,13.5,0.3,13.2
12.695,13.5,0.3,13.2
12.7,13.5,0.3,13.2
12.705,13.5,0.3,13.2
12.71,13.5,0.3,13.2
12.715,13.5,0.3,13.2
12.72,13.5,0.3,13.2
12.725,13.5,0.3,13.2
12.73,13.5,0.3,13.2
12.735,13.5,0.3,13.2
12.74,13.5,0.3,13.2
12.745,13.5,0.3,13.3
12.75,13.5,0.2,13.3
12.755,13.5,0.2,13.3
12.76,13.5,0.2,13.3
12.765,13.5,0.2,13.3
12.77,13.5,0.2,13.3
12.775,13.5,0.2,13.3
12.78,13.5,0.2,13.3
12.785,13.5,0.2,13.3
12.79,13.5,0.2,13.3
12.795,13.5,0.2,13.3
12.8,13.5,0.2,13.3
12.805,13.5,0.2,13.3
12.81,13.5,0.2,13.3
12.815,13.5,0.2,13.3
12.82,13.5,0.2,13.3
12.825,13.5,0.2,13.3
12.83,13.5,0.2,13.3
12.835,13.5,0.2,13.3
12.84,13.5,0.2,13.3
12.845,13.5,0.2,13.3
12.85,13.5,0.2,13.3
12.855,13.5,0.2,13.3
12.86,13.5,0.2,13.3
12.865,13.5,0.2,13.3
12.87,13.5,0.2,13.3
12.875,13.5,0.2,13.3
12.88,13.5,0.2,13.3
12.885,13.5,0.2,13.3
12.89,13.5,0.2,13.3
12.895,13.5,0.2,13.3
12.9,13.5,0.2,13.3
12.905,13.5,0.2,13.3
12.91,13.5,0.2,13.3
12.915,13.5,0.2,13.3
12.92,13.5,0.2,13.3
12.925,13.5,0.2,13.3
12.93,13.5,0.2,13.3
12.935,13.5,0.2,13.3
12.94,13.5,0.2,13.3
12.945,13.5,0.2,13.3
12.95,13.5,0.2,13.3
12.955,13.5,0.2,13.3
12.96,13.5,0.2,13.3
12.965,13.5,0.2,13.3
12.97,13.5,0.2,13.3
12.975,13.5,0.2,13.3
12.98,13.5,0.2,13.3
12.985,13.5,0.2,13.3
12.99,13.5,0.2,13.3
12.995,13.5,0.2,13.3
13,13.5,0.2,13.3
13.005,13.5,0.2,13.3
13.01,13.5,0.2,13.3
13.015,13.5,0.2,13.3
13.02,13.5,0.2,13.3
13.025,13.5,0.2,13.3
13.03,13.5,0.2,13.3
13.035,13.5,0.2,13.3
13.04,13.5,0.2,13.3
13.045,13.5,0.2,13.3
13.05,13.5,0.2,13.3
13.055,13.5,0.2,13.3
13.06,13.5,0.2,13.3
13.065,13.5,0.2,13.3
13.07,13.5,0.2,13.3
13.075,13.5,0.2,13.3
13.08,13.5,0.2,13.3
13.085,13.5,0.2,13.3
13.09,13.5,0.2,13.3
13.095,13.5,0.2,13.3
13.1,13.5,0.2,13.3
13.105,13.5,0.2,13.3
13.11,13.5,0.2,13.3
13.115,13.5,0.2,13.3
13.12,13.5,0.2,13.3
13.125,13.5,0.2,13.3
13.13,13.5,0.2,13.3
13.135,13.5,0.2,13.3
13.14,13.5,0.2,13.3
13.145,13.5,0.2,13.3
13.15,13.5,0.2,13.3
13.155,13.5,0.2,13.3
13.16,13.5,0.2,13.3
13.165,13.5,0.2,13.3
13.17,13.5,0.2,13.3
13.175,13.5,0.2,13.3
13.18,13.5,0.2,13.3
13.185,13.5,0.2,13.3
13.19,13.5,0.2,13.3
13.195,13.5,0.2,13.3
13.2,13.5,0.2,13.3
13.205,13.5,0.2,13.3
13.21,13.5,0.2,13.3
13.215,13.5,0.2,13.3
13.22,13.5,0.2,13.3
13.225,13.5,0.2,13.3
13.23,13.5,0.2,13.3
13.235,13.5,0.2,13.3
13.24,13.5,0.2,13.3
13.245,13.5,0.2,13.4
13.25,13.5,0.1,13.4
13.255,13.5,0.1,13.4
13.26,13.5,0.1,13.4
13.265,13.5,0.1,13.4
13.27,13.5,0.1,13.4
13.275,13.5,0.1,13.4
13.28,13.5,0.1,13.4
13.285,13.5,0.1,13.4
13.29,13.5,0.1,13.4
13.295,13.5,0.1,13.4
13.3,13.5,0.1,13.4
13.305,13.5,0.1,13.4
13.31,13.5,0.1,13.4
13.315,13.5,0.1,13.4
13.32,13.5,0.1,13.4
13.325,13.5,0.1,13.4
13.33,13.5,0.1,13.4
13.335,13.5,0.1,13.4
13.34,13.5,0.1,13.4
13.345,13.5,0.1,13.4
13.35,13.5,0.1,13.4
13.355,13.5,0.1,13.4
13.36,13.5,0.1,13.4
13.365,13.5,0.1,13.4
13.37,13.5,0.1,13.4
13.375,13.5,0.1,13.4
13.38,13.5,0.1,13.4
13.385,13.5,0.1,13.4
13.39,13.5,0.1,13.4
13.395,13.5,0.1,13.4
13.4,13.5,0.1,13.4
13.405,13.5,0.1,13.4
13.41,13.5,0.1,13.4
13.415,13.5,0.1,13.4
13.42,13.5,0.1,13.4
13.425,13.5,0.1,13.4
13.43,13.5,0.1,13.4
13.435,13.5,0.1,13.4
13.44,13.5,0.1,13.4
13.445,13.5,0.1,13.4
13.45,13.5,0.1,13.4
13.455,13.5,0.1,13.4
13.46,13.5,0.1,13.4
13.465,13.5,0.1,13.4
13.47,13.5,0.1,13.4
13.475,13.5,0.1,13.4
13.48,13.5,0.1,13.4
13.485,13.5,0.1,13.4
13.49,13.5,0.1,13.4
13.495,13.5,0.1,13.4
13.5,13.5,0.1,13.4
13.505,13.5,0.1,13.4
13.51,13.5,0.1,13.4
13.515,13.5,0.1,13.4
13.52,13.5,0.1,13.4
13.525,13.5,0.1,13.4
13.53,13.5,0.1,13.4
13.535,13.5,0.1,13.4
13.54,13.5,0.1,13.4
13.545,13.5,0.1,13.4
13.55,13.5,0.1,13.4
13.555,13.5,0.1,13.4
13.56,13.5,0.1,13.4
13.565,13.5,0.1,13.4
13.57,13.5,0.1,13.4
13.575,13.5,0.1,13.4
13.58,13.5,0.1,13.4
13.585,13.5,0.1,13.4
13.59,13.5,0.1,13.4
13.595,13.5,0.1,13.4
13.6,13.5,0.1,13.4
13.605,13.5,0.1,13.4
13.61,13.5,0.1,13.4
13.615,13.5,0.1,13.4
13.62,13.5,0.1,13.4
13.625,13.5,0.1,13.4
13.63,13.5,0.1,13.4
13.635,13.5,0.1,13.4
13.64,13.5,0.1,13.4
13.645,13.5,0.1,13.4
13.65,13.5,0.1,13.4
13.655,13.5,0.1,13.4
13.66,13.5,0.1,13.4
13.665,13.5,0.1,13.4
13.67,13.5,0.1,13.4
13.675,13.5,0.1,13.4
13.68,13.5,0.1,13.4
13.685,13.5,0.1,13.4
13.69,13.5,0.1,13.4
13.695,13.5,0.1,13.4
13.7,13.5,0.1,13.4
13.705,13.5,0.1,13.4
13.71,13.5,0.1,13.4
13.715,13.5,0.1,13.4
13.72,13.5,0.1,13.4
13.725,13.5,0.1,13.4
13.73,13.5,0.1,13.4
13.735,13.5,0.1,13.4
13.74,13.5,0.1,13.4
13.745,13.5,0.1,13.4
13.75,13.5,0.1,13.4
13.755,13.5,0.1,13.4
13.76,13.5,0.1,13.4
13.765,13.5,0.1,13.4
13.77,13.5,0.1,13.4
13.775,13.5,0.1,13.4
13.78,13.5,0.1,13.4
13.785,13.5,0.1,13.4
13.79,13.5,0.1,13.4
13.795,13.5,0.1,13.4
13.8,13.5,0.1,13.4
13.805,13.5,0.1,13.4
13.81,13.5,0.1,13.4
13.815,13.5,0.1,13.4
13.82,13.5,0.1,13.4
13.825,13.5,0.1,13.4
13.83,13.5,0.1,13.4
13.835,13.5,0.1,13.4
13.84,13.5,0.1,13.4
13.845,13.5,0.1,13.4
13.85,13.5,0.1,13.4
13.855,13.5,0.1,13.4
13.86,13.5,0.1,13.4
13.865,13.5,0.1,13.4
13.87,13.5,0.1,13.4
13.875,13.5,0.1,13.4
13.88,13.5,0.1,13.4
13.885,13.5,0.1,13.4
13.89,13.5,0.1,13.4
13.895,13.5,0.1,13.4
13.9,13.5,0.1,13.4
13.905,13.5,0.1,13.4
13.91,13.5,0.1,13.4
13.915,13.5,0.1,13.4
13.92,13.5,0.1,13.4
13.925,13.5,0.1,13.4
13.93,13.5,0.1,13.4
13.935,13.5,0.1,13.4
13.94,13.5,0.1,13.4
13.945,13.5,0.1,13.4
13.95,13.5,0.1,13.4
13.955,13.5,0.1,13.4
13.96,13.5,0.1,13.4
13.965,13.5,0.1,13.4
13.97,13.5,0.1,13.4
13.975,13.5,0.1,13.4
13.98,13.5,0.1,13.4
13.985,13.5,0.1,13.4
13.99,13.5,0.1,13.4
13.995,13.5,0.1,13.4
14,13.5,0.1,13.4
14.005,13.5,0.1,13.4
14.01,13.5,0.1,13.4
14.015,13.5,0.1,13.4
14.02,13.5,0.1,13.4
14.025,13.5,0.1,13.4
14.03,13.5,0.1,13.4
14.035,13.5,0.1,13.4
14.04,13.5,0.1,13.4
14.045,13.5,0.1,13.4
14.05,13.5,0.1,13.4
14.055,13.5,0.1,13.4
14.06,13.5,0.1,13.4
14.065,13.5,0.1,13.4
14.07,13.5,0.1,13.4
14.075,13.5,0.1,13.4
14.08,13.5,0.1,13.4
14.085,13.5,0.1,13.4
14.09,13.5,0.1,13.4
14.095,13.5,0.1,13.4
14.1,13.5,0.1,13.4
14.105,13.5,0.1,13.4
14.11,13.5,0.1,13.4
14.115,13.5,0.1,13.4
14.12,13.5,0.1,13.4
14.125,13.5,0.1,13.4
14.13,13.5,0.1,13.4
14.135,13.5,0.1,13.4
14.14,13.5,0.1,13.4
14.145,13.5,0.1,13.4
14.15,13.5,0.1,13.4
14.155,13.5,0.1,13.4
14.16,13.5,0.1,13.4
14.165,13.5,0.1,13.4
14.17,13.5,0.1,13.4
14.175,13.5,0.1,13.4
14.18,13.5,0.1,13.4
14.185,13.5,0.1,13.4
14.19,13.5,0.1,13.4
14.195,13.5,0.1,13.4
14.2,13.5,0.1,13.4
14.205,13.5,0.1,13.4
14.21,13.5,0.1,13.4
14.215,13.5,0.1,13.4
14.22,13.5,0.1,13.4
